action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,106984,[],CHEMBL804591,In vitro competitive binding versus [3H]citalopram in murine kidney cells transfected with cDNA for human serotonin transporter (SERT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,,,CHEMBL1136726,J Med Chem,2003.0,"{'bei': '23.81', 'le': '0.63', 'lle': '6.14', 'sei': '31.06'}",CHEMBL311347,,CHEMBL311347,9.17,0,http://www.openphacts.org/units/Nanomolar,342388,=,1,1,=,,Ki,nM,,0.67,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,0.67
,,110600,[],CHEMBL804591,In vitro competitive binding versus [3H]citalopram in murine kidney cells transfected with cDNA for human serotonin transporter (SERT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C\I)cc1)N2,,,CHEMBL1136726,J Med Chem,2003.0,"{'bei': '25.93', 'le': '0.67', 'lle': '6.81', 'sei': '26.87'}",CHEMBL174088,,CHEMBL174088,10.30,0,http://www.openphacts.org/units/Nanomolar,342389,=,1,1,=,,Ki,nM,,0.05,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,0.05
,,118472,[],CHEMBL804589,In vitro binding affinity on cloned Serotonin transporter,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)Cc1ccccc1Sc1ccc(C#N)cc1N,,,CHEMBL1133614,J Med Chem,2000.0,"{'bei': '31.61', 'le': '0.61', 'lle': '5.61', 'sei': '16.89'}",CHEMBL106939,DASB,CHEMBL106939,8.96,1,http://www.openphacts.org/units/Nanomolar,197396,=,1,1,=,,Ki,nM,,1.1,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,1.1
,,118579,[],CHEMBL805619,In vitro competitive binding versus [3H]-citalopram in murine kidney cells transfected with cDNA for human serotonin transporter (SERT),B,,,BAO_0000192,BAO_0000219,cell-based format,CNCCC(Oc1ccccc1OC)c1ccccc1,,,CHEMBL1136726,J Med Chem,2003.0,"{'bei': '32.63', 'le': '0.60', 'lle': '5.43', 'sei': '29.04'}",CHEMBL295467,NISOXETINE,CHEMBL295467,8.85,0,http://www.openphacts.org/units/Nanomolar,342395,=,1,1,=,,Ki,nM,,1.4,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,1.4
,,123444,[],CHEMBL805619,In vitro competitive binding versus [3H]-citalopram in murine kidney cells transfected with cDNA for human serotonin transporter (SERT),B,,,BAO_0000192,BAO_0000219,cell-based format,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,,,CHEMBL1136726,J Med Chem,2003.0,"{'bei': '25.67', 'le': '0.48', 'lle': '4.86', 'sei': '20.26'}",CHEMBL14370,REBOXETINE,CHEMBL14370,8.05,0,http://www.openphacts.org/units/Nanomolar,342391,=,1,1,=,,Ki,nM,,9.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,9.0
,,127426,[],CHEMBL804589,In vitro binding affinity on cloned Serotonin transporter,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1N,,,CHEMBL1133614,J Med Chem,2000.0,"{'bei': '29.05', 'le': '0.59', 'lle': '4.98', 'sei': '32.40'}",CHEMBL104673,,CHEMBL104673,9.48,0,http://www.openphacts.org/units/Nanomolar,197395,=,1,1,=,,Ki,nM,,0.33,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,0.33
,,128406,[],CHEMBL804589,In vitro binding affinity on cloned Serotonin transporter,B,,,BAO_0000192,BAO_0000357,single protein format,COc1ccc(Sc2ccccc2CN(C)C)c(N)c1,,,CHEMBL1133614,J Med Chem,2000.0,"{'bei': '30.25', 'le': '0.60', 'lle': '5.23', 'sei': '22.66'}",CHEMBL107077,,CHEMBL107077,8.72,0,http://www.openphacts.org/units/Nanomolar,197398,=,1,1,=,,Ki,nM,,1.89,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,1.89
,,137114,[],CHEMBL804589,In vitro binding affinity on cloned Serotonin transporter,B,,,BAO_0000192,BAO_0000357,single protein format,CN(C)Cc1ccccc1Sc1ccc(Cl)cc1N,,,CHEMBL1133614,J Med Chem,2000.0,"{'bei': '32.68', 'le': '0.69', 'lle': '5.43', 'sei': '32.70'}",CHEMBL432394,,CHEMBL432394,9.57,0,http://www.openphacts.org/units/Nanomolar,197397,=,1,1,=,,Ki,nM,,0.27,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,0.27
,,138604,[],CHEMBL805619,In vitro competitive binding versus [3H]-citalopram in murine kidney cells transfected with cDNA for human serotonin transporter (SERT),B,,,BAO_0000192,BAO_0000219,cell-based format,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C/I)cc1)N2,,,CHEMBL1136726,J Med Chem,2003.0,"{'bei': '22.50', 'le': '0.58', 'lle': '5.45', 'sei': '23.32'}",CHEMBL173427,,CHEMBL173427,8.94,0,http://www.openphacts.org/units/Nanomolar,342394,=,1,1,=,,Ki,nM,,1.15,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,1.15
,,192904,[],CHEMBL812553,Evaluated for affinity at 5-HT uptake site using [3H]paroxetine as radioligand in radioligand binding assay,B,,,BAO_0000192,BAO_0000357,single protein format,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,,,CHEMBL1128895,Bioorg Med Chem Lett,1995.0,"{'bei': '27.48', 'le': '0.53', 'lle': '4.06', 'sei': '39.98'}",CHEMBL41,FLUOXETINE,CHEMBL41,8.50,0,http://www.openphacts.org/units/Nanomolar,132354,=,1,1,=,,Ki,nM,,3.17,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,Ki,nM,UO_0000065,,3.17
