molecule_chembl_id,canonical_smiles,standard_value
CHEMBL311347,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,0.67
CHEMBL174088,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C\I)cc1)N2,0.05
CHEMBL106939,CN(C)Cc1ccccc1Sc1ccc(C#N)cc1N,1.1
CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,1.4
CHEMBL14370,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,9.0
CHEMBL104673,CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1N,0.33
CHEMBL107077,COc1ccc(Sc2ccccc2CN(C)C)c(N)c1,1.89
CHEMBL432394,CN(C)Cc1ccccc1Sc1ccc(Cl)cc1N,0.27
CHEMBL173427,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C/I)cc1)N2,1.15
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,3.17
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,0.077
CHEMBL268258,COc1cccc2c1CCC[C@H]2CN(C)CCc1ccc2ccoc2c1,3.77
CHEMBL75342,COc1cccc2c1CCC[C@@H]2CN(C)CCc1ccc2ccoc2c1,92.0
CHEMBL342055,c1ccc(CC(c2ccccc2)c2ccncc2)cc1,910.0
CHEMBL357322,c1ccc(Cc2ccncc2)cc1,10000.0
CHEMBL347772,c1ccc(C(c2ccccc2)c2ccccn2)cc1,35000.0
CHEMBL150045,c1ccc(C(c2ccccc2)c2ccncc2)cc1,1160.0
CHEMBL149246,c1ccc(C(c2ccccc2)c2cccnc2)cc1,12600.0
CHEMBL357312,c1ccc2c(-c3ccncc3)c3ccccc3cc2c1,10000.0
CHEMBL149878,c1cncc(-c2c3ccccc3cc3ccccc23)c1,10000.0
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,155.0
CHEMBL132683,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,10000.0
CHEMBL544370,Cl.OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21,25.6
CHEMBL417049,CN(CCOC(c1ccccc1)c1ccccc1)C1CCN(CCCc2ccccc2)CC1,1400.0
CHEMBL26320,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,2090.0
CHEMBL336100,OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,38.1
CHEMBL781,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,50.0
CHEMBL133070,COC(=O)C1C(c2ccc(C(C)=O)c(C(C)=O)c2)CC2CCC1N2C,704.0
CHEMBL67024,Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,220.0
CHEMBL130668,Oc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,77.0
CHEMBL443797,CN(CCCc1ccccc1)C1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,87.0
CHEMBL335165,COC(=O)C1=C(c2ccc(C(C)=O)c(C(C)=O)c2)CC2CCC1N2C,10000.0
CHEMBL132614,COC(=O)C1=C(c2ccc(O)c(O)c2)CC2CCC1N2C,10000.0
